OBJECTID,NAME,CATEGORY,ZIP_CODE,COMMENTS,Location 1
47,HOOVER ELEMENTARY SCHOOL,K-8 SCHOOL,94061,,"701 Charter St.
REDWOOD CITY, CA 94061
(37.482152477304027, -122.214273675262500)"
48,OUR LADY OF ANGELS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94010,Based on Tax Use and aerial photo,"1328 Cabrillo Ave.
BURLINGAME, CA 94010
(37.584388652781975, -122.371899182484630)"
49,TAFT ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94063,,"903 10th Avenue
REDWOOD CITY, CA 94063
(37.479997568836893, -122.193999001133850)"
50,REDEEMER LUTHERAN ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94062,,"468 Grand St.
REDWOOD CITY, CA 94062
(37.479467182120977, -122.237395131187770)"
51,GOOD SHEPHERD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"909 Oceana Blvd.
PACIFICA, CA 94044
(37.640489141705594, -122.490163199021040)"
52,CARLMONT HIGH SCHOOL,HIGH SCHOOL,94002,Revision based on parcels tax use,"1400 Alameda de Las Pulgas
BELMONT, CA 94002
(37.507155215480623, -122.288091109580980)"
53,PARKWAY HEIGHTS MIDDLE SCHOOL,MIDDLE SCHOOL,94080,,"825 Parkway Ave.
San Francisco, CA 94080
(37.663526249398736, -122.428048937172320)"
54,MATER DOLOROSA ELEMENTARY SCHOOL,RELIGIOUS SCHOOL K-8,94080,based on Google Maps,"1040 Miller Avenue
SOUTH SAN FRANCISCO, CA 94080
(37.661945534424497, -122.433931270044430)"
55,FAIRMONT ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,VACANT. Source - Pacific School District,"290 Edgewood Dr.
PACIFICA, CA 94044
(37.661197901000136, -122.481405881743970)"
56,JUNIPERO SERRA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"151 Victoria St.
DALY CITY, CA 94015
(37.661027257057754, -122.469848841814740)"
57,SEA CREST SCHOOL,ELEMENTARY SCHOOL,94019,Based on parcels tax use and Google,"901 Arnold Way
HALF MOON BAY, CA 94019
(37.456222990709421, -122.427255509180780)"
58,OUR LADY OF PERPETUAL HELP ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"60 Wellington Ave.
DALY CITY, CA 94014
(37.705517037946912, -122.460983986316650)"
59,GARNET J. ROBERTSON INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,94014,,"1 Martin St.
DALY CITY, CA 94014
(37.700709529887696, -122.413387797524900)"
60,OUR LADY OF MERCY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"1 Elmwood Dr.
DALY CITY, CA 94015
(37.699844470657233, -122.488976864093900)"
61,JOHN F. KENNEDY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"785 Price St.
DALY CITY, CA 94014
(37.694552797685468, -122.455365101469620)"
62,BENJAMIN FRANKLIN INTERMEDIATE SCHOOL,INTERMEDIATE SCHOOL,94015,,"700 Stewart Ave.
COLMA, CA 94015
(37.694145806387482, -122.482097785735360)"
63,PANORAMA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"25 Bellevue Ave.
DALY CITY, CA 94014
(37.706740194458682, -122.437258725976530)"
64,WESTLAKE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"80 Fieldcrest Dr.
DALY CITY, CA 94015
(37.705347337419255, -122.479893008312710)"
65,WESTMOOR HIGH SCHOOL,HIGH SCHOOL,94015,Revision based on data from school and aerial photo,"131 Westmoor Ave.
DALY CITY, CA 94015
(37.683470220296272, -122.484761568132210)"
66,WOODROW WILSON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"43 Miriam St.
DALY CITY, CA 94014
(37.704177510879873, -122.465302245379600)"
67,SUNSET RIDGE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94044,,"340 Inverness Dr.
PACIFICA, CA 94044
(37.653182739980444, -122.479037579498580)"
68,SKYLINE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94015,,"55 Christen Ave.
DALY CITY, CA 94015
(37.651574033291666, -122.466609409102350)"
69,BADEN HIGH SCHOOL (CONTINUATION),HIGH SCHOOL,94080,City of SSF landmark data and parcels tax use info,"825 Southwood Dr.
SOUTH SAN FRANCISCO, CA 94080
(37.649655682161864, -122.435098722384300)"
70,LOS CERRITOS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94080,,"210 West Orange Ave.
SOUTH SAN FRANCISCO, CA 94080
(37.651493726593486, -122.427398518279050)"
71,ALLEN ELEMENTARY SCHOOL,K-6 SCHOOL,94066,,"875 West Angus Ave.
SAN BRUNO, CA 94066
(37.624771506937279, -122.416436304103410)"
72,HIGHLANDS CHRISTIAN SCHOOLS,RELIGIOUS SCHOOL,94066,K-12  schools,"1900 Monterey Dr.
SAN BRUNO, CA 94066
(37.621951776857969, -122.447953138891280)"
73,VACANT,EDUCATIONAL FACILITY,94014,VACANT,"20 Allemany St.
DALY CITY, CA 94014
(37.689480599247872, -122.467738659686460)"
74,GEORGE WASHINGTON ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"251 Whittier St.
DALY CITY, CA 94014
(37.707230363664337, -122.446626270622740)"
75,BAYSHORE ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94014,,"155 Oriente St.
DALY CITY, CA 94014
(37.705643275089756, -122.414458045862820)"
76,AL-HUDA ISLAMIC SCHOOL,RELIGIOUS SCHOOL,94080,Based on parcels tax use and Google,"340 Alta Vista Dr.
SOUTH SAN FRANCISCO, CA 94080
(37.640637008892533, -122.434039366119210)"
77,SEQUOIA HIGH SCHOOL,HIGH SCHOOL,94062,,"1201 Brewster Ave.
REDWOOD CITY, CA 94062
(37.486015730905287, -122.237389907484400)"
78,PENINSULA CHRISTIAN SCHOOL,RELIGIOUS SCHOOL,94063,,"1305 Middlefield Rd.
REDWOOD CITY, CA 94063
(37.483638019191538, -122.224722622627520)"
79,HILLSDALE HIGH SCHOOL,HIGH SCHOOL,94403,,"3115 Del Monte St.
SAN MATEO, CA 94403
(37.531774495464532, -122.315025603070250)"
80,GRACE LUTHERAN SCHOOL,RELIGIOUS SCHOOL,94403,,"2825 Alameda De Las Pulgas
SAN MATEO, CA 94403
(37.537590539103519, -122.311807234952970)"
81,WOODSIDE PRIORY SCHOOL,RELIGIOUS SCHOOL,94028,Based on parcel Tax Use,"302 Portola Road
PORTOLA VALLEY, CA 94028
(37.374759210968875, -122.215232687913730)"
82,JAMES FLOOD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94025,,"2037 Pulgas Ave.
EAST PALO ALTO, CA 94025
(37.461833393681687, -122.130161581923990)"
83,EL GRANADA ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94018,,"400 Santiago St.
Half Moon Bay, CA 94018
(37.499946154926825, -122.464533797739480)"
84,HIGHLANDS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94402,,"2320 Newport St.
SAN MATEO, CA 94402
(37.523669509584749, -122.349451185443040)"
85,CENTRAL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94002,,"525 Middle Rd.
BELMONT, CA 94002
(37.523701489566001, -122.282351731908240)"
86,CAREY ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"1 Carey School Ln.
SAN MATEO, CA 94403
(37.544727171750765, -122.318752495791760)"
87,BERESFORD ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"300 28th Avenue
SAN MATEO, CA 94403
(37.539140844459588, -122.309189294483400)"
88,MEADOW HEIGHTS ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"2619 Dolores St.
SAN MATEO, CA 94403
(37.539012737949278, -122.317178722872460)"
89,LAUREL ELEMENTARY SCHOOL,ELEMENTARY SCHOOL,94403,,"316 36th Ave.
SAN MATEO, CA 94403
(37.531719905202216, -122.303650799871140)"
